title,description,prerequisites,prereq_text,course_code,terms,professors,terms_str,professors_str
MATH 8805 - Special Topics,This course enables the school of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8805,[],[],,
MATH 8811 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8811,[],[],,
MATH 8812 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8812,[],[],,
MATH 8813 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8813,['spring2011' 'fall2010' 'spring2009' 'fall2009' 'spring2008'],"['Robin   Thomas' 'Brett D  Wick' 'Shui-Nee   Chow' 'Stephen   Demko'
 'James Clayton  Kerce']","spring2011, fall2010, spring2009, fall2009, and spring2008","Robin Thomas, Brett D Wick, Shui-Nee Chow, Stephen Demko, and James Clayton Kerce"
MATH 8814 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8814,[],[],,
MATH 8815 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8815,[],[],,
MATH 8821 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8821,[],[],,
MATH 8822 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8822,[],[],,
MATH 8823 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8823,['spring2012' 'spring2010' 'spring2008' 'spring2007' 'fall2007'],"['Hao-Min   Zhou' 'Jean V.  Bellissard' 'Vladimir   Koltchinskii'
 'Prasad   Tetali' 'Robert P  Kertz']","spring2012, spring2010, spring2008, spring2007, and fall2007","Hao-Min Zhou, Jean V. Bellissard, Vladimir Koltchinskii, Prasad Tetali, and Robert P Kertz"
MATH 8824 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8824,[],[],,
MATH 8825 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8825,[],[],,
MATH 8831 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8831,[],[],,
MATH 8832 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8832,[],[],,
MATH 8833 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8833,['spring2012' 'spring2007' 'fall2007' 'fall2006'],['William F  Perkins' 'Howard   Weiss' 'Yingfei   Yi' 'Robert P  Kertz'],"spring2012, spring2007, fall2007, and fall2006","William F Perkins, Howard Weiss, Yingfei Yi, and Robert P Kertz"
MATH 8834 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8834,[],[],,
MATH 8835 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8835,[],[],,
MATH 8841 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8841,[],[],,
MATH 8842 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8842,[],[],,
MATH 8843 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8843,[],[],,
MATH 8844 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8844,[],[],,
MATH 8845 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8845,[],[],,
MATH 8851 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8851,[],[],,
MATH 8852 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8852,[],[],,
MATH 8853 - Special Topics,This course enables the school of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8853,['spring2010' 'spring2007'],['Stephen   Demko'],"spring2010, and spring2007",Stephen Demko
MATH 8854 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8854,[],[],,
MATH 8855 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8855,[],[],,
